3529,NDAMS
GRAND_ID,DamName,DamLon,DamLat,area_CaMa,DamIX,DamIY,FldVol_mcm,ConVol_mcm,TotalVol_mcm,Qn,Qf
412,Laprele,-105.608,42.725,494.4,298,190,21.55,11.55,33.1,0.3157986,12.469744682312012
413,Minidoka,-113.492,42.675,46110.5,267,190,6.865347633067543,110.53465236693246,117.4,122.996704,995.1596069335938
414,Soda,-111.692,42.642,10742.4,274,190,2.145572519103652,17.254427480896346,19.4,21.008974,337.3608093261719
416,Pathfinder_Dike,-106.858,42.458,27841.1,293,191,592.8320169959562,660.9679830040437,1253.8,21.954666,209.63601684570312
417,Hart_Lake,-119.842,42.425,3171.9,241,191,8.315398221822583,55.984601778177414,64.3,5.096054,52.95191955566406
418,Oneida,-111.742,42.275,11773.4,274,191,0.6199999999999992,13.48,14.1,23.10465,416.6404113769531
419,Big_Sandy_Dike,-109.425,42.258,1473.4,283,191,23.62,43.47999999999999,67.1,1.1476492,54.74362564086914
421,Seminoe,-106.908,42.158,19606.4,293,192,188.60563548378104,1066.194364516219,1254.8,16.422558,146.5457305908203
423,Fontenelle,-110.058,42.025,10846.0,280,192,20.18400206979166,165.41599793020833,185.6,13.633157,303.02923583984375
425,Lake_Viva_Naughton_Dam,-110.658,41.975,1019.1,278,193,40.78,55.019999999999996,95.8,0.99266046,27.7977294921875
427,Cutler,-112.042,41.842,16381.5,272,193,20.029426036631733,61.37057396336827,81.4,34.45222,591.985595703125
428,Wheatland_2,-105.642,41.842,4899.5,298,194,24.619999999999976,154.08,178.7,3.3156452,29.581418991088867
430,Wild_Horse_Dam,-115.842,41.692,631.1,257,194,37.15742950048525,80.34257049951475,117.5,1.2775923,111.20914459228516
431,Hyrum,-111.875,41.625,777.9,273,194,1.7600000000000016,16.04,17.8,2.253345,70.3995590209961
433,Woodruff_Narrows,-111.025,41.492,2345.2,276,195,11.813728301954086,58.88627169804592,70.7,3.8173246,85.95329284667969
436,Chimney_Dam,-117.175,41.392,2098.8,252,195,49.91000000000001,31.489999999999995,81.4,3.4900255,32.09770584106445
438,Pineview,-111.842,41.258,461.3,274,195,18.06023251832488,117.63976748167511,135.7,1.3625944,44.57276916503906
442,Lost_Creek,-111.392,41.192,536.4,275,196,4.969999999999999,19.73,24.7,1.5779672,51.8059196472168
445,Meeks_Cabin,-110.575,41.025,449.4,278,197,9.599999999999998,26.8,36.4,0.7450814,27.624431610107422
